Lieu_id;Lieu_libel;Lieu_mnemonique;Lieu_bathy;Lieu_com;Lien_lieu;Date_creat;Date_maj;Port;Taxon;Groupe_taxon;Longitude;Latitude
60006820;Mzouazia (Baie centre) 31;145-P-015;40;Station 31 - étude Def RCS;;21/03/2014;21/03/2014;;;;45.0809002212835;-12.9435003017501
37087019;Montpenèdre (b);104-P-018;;Coordonnées modifiées sur la demande de Catherine Belin (17/03/2010);;13/06/2008;17/03/2010;;;;3.572952;43.382963
16033020;Tromeal;033-P-009;-1.6;;;13/06/2008;;;;;-3.9743936145;48.6991778521
18038017;Le Prioldy;039-P-076;;;;13/06/2008;;;;;-4.2270537104;48.291164471
16033037;Goaz ar Rous;035-P-014;;;;13/06/2008;;;;;-3.9425572402;48.6098426247
5011007;Bouée Carosse;010-P-052;10;;;13/06/2008;;;;;0.0253285446;49.4842458575
12025001;St Cast;022-P-002;1;Correction des coordonnées à la demande du LER le 26/11/2013 : anciennes coordonnées (-2.2431931057 - 48.64069704).;;13/06/2008;26/11/2013;;;;-2.24367214;48.64318061
11024002;Pointe du Puits;021-P-003;7;Petit ajustement (point trop central). Modifications des coordonnées le : 24/10/2016 à la demande des coordinations REMI, REPHY Anciennes coordonnées (48.58691412 / -1.98457529);;13/06/2008;24/10/2016;;;;-1.9847436;48.586589
60002980;Littoral Bastiais;115-P-020;0;;;21/01/2010;21/01/2010;;;;9.46304968819152;42.6758298129149
17035034;Aval Moulin de lEnfer - AW11;037-P-031;;;;13/06/2008;;;;;-4.5265590871;48.5950668386
32072027;Cotard;083-P-015;-5;;;13/06/2008;;;;;-1.1112678391;45.7751400337
34077071;Comprian (e);088-P-058;-3;Correction des coordonnées le 24/07/2012 à la demande du LER. Anciennes coordonnées (-1.0692426788 - 44.6666156244).;;13/06/2008;24/07/2012;;;;-1.099283;44.680217
37089371;PRE - Prévost Est;105-P-182;0.8;Rinbio 11E. Bathymétrie fournie par la coordination RSL (18/12/2014);;13/06/2008;18/12/2014;;;;3.9168738827;43.5291426247
25048005;Taillefer;054-P-005;22;Correction des coordonnées le 15/04/2013 à la demande de latlas DCE/LB (anciennes coordonnées -3.1331889487-47.4034538691). Bathymétrie inidiquée par LER/MPL/TM (R. Gabellec, 27/02/14).;;13/06/2008;27/02/2014;;;;-3.133189;47.403454
7015031;La Hougue;015-P-030;2;;;13/06/2008;;;;;-1.2805001139;49.57666809
60002387;Pointe Borgnesse;125-P-042;10;Correction des coordonnées le 15/11/2016 à la demande de IFREMER délégation des Antilles Françaises. Anciennes coordonnées (Lat 14.4433926775 et Long -60.8993854355).;;24/11/2009;15/11/2016;;;;-60.90618367;14.44823372
13027001;Jospinet;025-P-010;;;;13/06/2008;;;;;-2.6040308349;48.550690457
6013013;Meuvaines ouest;012-P-009;2;;;13/06/2008;;;;;-0.5671796796;49.3492353422
60007519;MEC- Kourou Côte;146-P-033;0;Kourou Côte;;30/10/2014;30/10/2014;;;;-52.6300010058338;5.17165962582982
60006824;Passi Keli (Pointe) H19;145-P-019;31;Station 19/H19/B21 - études Def RCS + RHLM actif;;21/03/2014;21/03/2014;;;;45.1252997384832;-13.0030999798833
60006843;Moya (large) 32;145-P-038;90;Station 32 - études Def RCS;;21/03/2014;21/03/2014;;;;45.3031995574331;-12.7887004626836
60008770;Le Castel 2;028-P-031;;Point créé à la demande du LERBN pour les données REMI palourdes le 19/10/2016;;19/10/2016;19/10/2016;;;;-3.209636111;48.8560693
60007515;MET- KOUROU (Passoura);146-P-029;0;Passoura;;30/10/2014;30/10/2014;;;;-52.6999989941662;5.1505602494468
60002539;TRIEUX - 22152E04;027-P-044;;;;02/12/2009;02/12/2009;;;;-3.13263126131562;48.7248823174412
17035030;Ouessant - cale de Porz Arlan;037-P-028;5;Correction des coordonnées le 15/04/2013 à la demande de latlas DCE/LB (anciennes coordonnées -5.0505729148-48.4551019204).;;13/06/2008;15/04/2013;;;;-5.049083;48.456178
60002468;ETEL - 56ET 23;053-P-029;;;;02/12/2009;02/12/2009;;;;-3.20998390665861;47.6472983303158
60002475;CRACH - 56G 210;057-P-016;;;;02/12/2009;02/12/2009;;;;-3.04907563870449;47.6261315630658
1001007;Epi ouest;001-P-005;;;;13/06/2008;;;;;2.3863343364;51.0551503748
8017003;Le Tunard;016-P-009;8;;;13/06/2008;;;;;-1.8265477309;49.7028966793
29064003;Anse du Piquet;074-P-025;0;;;13/06/2008;;;;;-1.6496263509;46.4341493694
19039001;Kervel;040-P-001;-0.6;Correction des coordonnées le 15/04/2013 à la demande de latlas DCE/LB (anciennes coordonnées -4.2847166952-48.1161594039).;;13/06/2008;27/02/2014;;;;-4.285148;48.115657
19036001;Ile de Sein;038-P-002;-0.8;;;13/06/2008;09/07/2010;;;;-4.8638917087;48.0431506003
14029020;Pommelin;027-P-011;;;;13/06/2008;;;;;-3.0927144099;48.8356919741
36083002;Parc Leucate 2;097-P-002;;;;13/06/2008;10/08/2009;;;;3.0143685963;42.8727865115
14029051;Roche Jagu aval confluent Leff - 22152E06;027-P-029;;Modification des coordonnées à la demande de la DREAL Bretagne le 26/08/2016. La CQEL a vérifié les coordonnées. Anciennes coordonnées : 48.7338354832 / -3.1369791101;;13/06/2008;26/08/2016;;;;-3.14572;48.73359
36085333;BGN - Bages Nord;100-P-044;2;Bathymétrie fournie par la coordination RSL (18/12/2014);;13/06/2008;18/12/2014;;;;3.0020303544;43.126958354
10023010;Vieux plan Est;020-P-012;;Correction des coordonnées à la demande du LER le 19/10/2012 : anciennes coordonnées (-1.7630171182 - 48.6347025342).;;13/06/2008;19/10/2012;;;;-1.76339144;48.63826047
60002512;TRIEUX - 22152E01;027-P-038;;;;02/12/2009;02/12/2009;;;;-3.16383625025145;48.6888111044055
18038062;Aval Guily Glaz - 29AL33;039-P-118;;;;13/06/2008;;;;;-4.1071376223;48.2074904859
60000680;Gironde - PK 52 DCE;085-P-087;;;;30/03/2009;30/03/2009;;;;-0.726251;45.2456
34077063;Jetée de Piquey;088-P-052;-2;;;13/06/2008;;;;;-1.210746238;44.7134484398
50135003;Pointe de la Table;126-P-003;;;;13/06/2008;;;;;55.8133327506;-21.3323334567
21041002;Moutons;043-P-002;;;;13/06/2008;09/07/2010;;;;-4.0287032344;47.7821542102
7015029;St Vaast Sud;015-P-028;-5;;;13/06/2008;;;;;-1.2880331139;49.5593992028
60003030;CRE-Scamandre-Crey-Charnier;107-P-026;0;;;15/02/2010;15/02/2010;;;;4.32006035003016;43.6310480788574
23045003;Etang de Ter;050-P-001;;;;13/06/2008;;;;;-3.4011906406;47.7336604715
22044028;Cost er Lann - 29LA05;048-P-024;;;;13/06/2008;;;;;-3.5293783528;47.8123558955
60002516;ARGUENON - 22006E05;022-P-036;;;;02/12/2009;02/12/2009;;;;-2.21387547777107;48.5736803460069
26053025;Port-Blanc;060-P-019;;;;13/06/2008;;;;;-2.9571797072;47.6239963341
16033001;Pen al Lann;034-P-001;-3;Correction des coordonnées le 15/04/2013 à la demande de latlas DCE/LB (anciennes coordonnées -3.8938912007-48.6650112857).;;13/06/2008;27/02/2014;;;;-3.8944;48.665109
60002393;Rocher du Diamant;125-P-048;15;Correction des coordonnées le 15/11/2016 à la demande de IFREMER délégation des Antilles Françaises. Anciennes coordonnées (Lat 14.443977067 et Long -61.0406085295).;;24/11/2009;15/11/2016;;;;-61.04006074;14.44400875
30065035;Pertuis Breton gisement 01;076-P-030;3;Libellé modifié à la demande du LER-PC le 15/03/2011 (ancien libellé : PB coquilles st jacques).;;13/06/2008;15/03/2011;;;;-1.3214481278;46.1996475482
60006829;Bambo (Anse sud) H20;145-P-024;31;Station 20/H20/B26 - études Def RCS + RHLM actif;;21/03/2014;15/06/2015;;;;45.1885003017501;-12.9345001005834
27057004;Le Marescle;063-P-001;5;Bathymétrie inidiquée par LER/MPL/TM (R. Gabellec, 27/02/14). Modifications des coordonnées le : 05/12/2016 à la demande des coordinations REMI, REPHY Anciennes coordonnées (47.4628310812 / -2.4971671438);;13/06/2008;05/12/2016;;;;-2.49768;47.46109
24046010;Etel - Pierres noires;052-P-010;28;Correction des coordonnées le 15/04/2013 à la demande de latlas DCE/LB (anciennes coordonnées -3.2420173182-47.5881587719). Bathymétrie inidiquée par LER/MPL/TM (R. Gabellec, 27/02/14).;;13/06/2008;27/02/2014;;;;-3.241081;47.588262
18037002;Pen an Trein (a);039-P-002;-2;;;13/06/2008;27/02/2014;;;;-4.3208920977;48.4148331128
10023002;Hermelles 1;020-P-004;;Le point nétait pas / plus dans la bonne zone (35.15 au lieu de 35.14). Modifications des coordonnées le : 24/10/2016 à la demande des coordinations REMI, REPHY Anciennes coordonnées (48.6690379838 / -1.6583493582);;13/06/2008;24/10/2016;;;;-1.6617513;48.6664193
60002531;JAUDY - 22171E08;028-P-019;;;;02/12/2009;02/12/2009;;;;-3.22512472339571;48.7935847917924
60003360;VCS-Vaccarès;108-P-067;;Ajouté suite à la demande de Nathalie Malet et Valérie Dérolez en avril 2010;;29/04/2010;29/04/2010;;;;4.60269965801649;43.53570006035
22044030;Amont port Kerdruc Rosbras - 29AV02;048-P-026;;;;13/06/2008;;;;;-3.7449174588;47.8201501942
25055213;Nord Artimon;062-P-010;;;;13/06/2008;;;;;-2.8013372361;47.3773254463
60002460;BLAVET - 56B 500;050-P-060;;;;02/12/2009;02/12/2009;;;;-3.33283846308589;47.7383645141823
50137007;Saint Paul (Large);126-P-020;;Les coordonnées ont été modifiées afin de rapprocher les lieux de surveillance hydrologique des lieux de surveillance du benthos et ainsi optimiser la stratégie de surveillance DCE. Les nouvelles coordonnées sont valables pour les acquisitions effectuées à partir de 2012.;;13/06/2008;11/06/2012;;;;55.256967;-20.997833
36085002;Milieu bages;100-P-003;;;;13/06/2008;;;;;3.0020313402;43.0736239034
40103006;Ile du soleil;113-P-010;;;;13/06/2008;;;;;6.4196678298;43.0148322181
60007471;MET- COMTE (Mahury);146-P-005;0;Mahury;;30/10/2014;30/10/2014;;;;-52.3327750955542;4.74444578555622
60002487;VANNES - 56G 760;061-P-084;;;;02/12/2009;02/12/2009;;;;-2.78331522832428;47.6310269563468
18037016;Anse de Kerhuon - EL15;039-P-016;;;;13/06/2008;;;;;-4.3772110518;48.4004154016
30065008;Rivedoux (a);076-P-008;-2.8;;;13/06/2008;;;;;-1.2707796809;46.1633139317
32070006;Dagnas (a);080-P-012;;;;13/06/2008;;;;;-1.1766045508;45.8708081809
18038059;Gisement Lanvéoc;039-P-115;20;;;13/06/2008;27/02/2014;;;;-4.4517245964;48.2978285911
12025006;Fresnaie f4;023-P-005;;;;13/06/2008;;;;;-2.2923607722;48.6431965238
60007488;MET- MANA (Ilet Mana);146-P-022;0;Ilet Mana;;30/10/2014;30/10/2014;;;;-53.7982267149467;5.70897002615168
60004701;Tête à lAnglais;124-P-025;12;Lieu créé le 11/10/2011 demande de C. Belin. Coordonnées corrigées le 27/05/13 suite à la mission de mars 2013 et à lenvoi dun mail de Pareto.;;11/10/2011;15/04/2014;;;;-61.76451;16.3836
34077057;Banc des chiens;087-P-006;;;;13/06/2008;;;;;-1.2512441614;44.5822784719
38094021;Grand Rhône;109-P-019;;;;13/06/2008;;;;;4.8026672593;43.3858331785
22044024;Moulin mer - 29BE08;048-P-020;;;;13/06/2008;;;;;-3.6394307796;47.8288583301
26053002;Kerouarch;060-P-002;;;;13/06/2008;;;;;-2.9510120084;47.5881621916
38093005;Stes Maries 5;106-P-013;1.5;;;13/06/2008;;;;;4.4432190083;43.4493127255
18038029;Les Fillettes;039-P-087;2;;;13/06/2008;;;;;-4.6043946173;48.3206606473
36081002;Barcares;095-P-002;;Correction des coordonnées du lieu à la demande du LER/LR (anciennes coordonnées Latitude 42.7971185388 et Longitude 3.0405371394).;;13/06/2008;24/06/2014;;;;3.057233;42.874567
16033012;Pont de la Corde;035-P-002;;Correction des coordonnées le 29/05/2012 à la demande du LER. Anciennes coordonnées (48.6450100627-3.9528917289).;;13/06/2008;27/02/2014;;;;-3.9535444444;48.6455027778
25050007;Pointe Colomban;055-P-022;;;;13/06/2008;;;;;-3.0996806139;47.5578263685
60000167;Etang de Vic - Puech Long;105-P-145;;;;11/12/2008;10/02/2012;;;;3.8435;43.505683
27056016;Penvins;062-P-013;;;;13/06/2008;;;;;-2.6680041174;47.4823295696
60002439;AULNE - 29AL34;039-P-191;;;;02/12/2009;02/12/2009;;;;-4.09001106417219;48.2568125125729
38095003;Varage;110-P-004;;;;13/06/2008;;;;;5.0225634318;43.4694854461
7014017;St Germain de Varreville;014-P-017;-1;Coordonnées modifiées le 25/08/2009 (anciennes coordonnées : lat = 49.451730567, long = -1.2096952416);;13/06/2008;25/08/2009;;;;-1.208333333;49.45266667
6012011;Franceville parking;010-P-111;-2;;;13/06/2008;;;;;-0.2006707974;49.2922380683
37087026;P. Saumes(mer);102-P-002;;;;13/06/2008;;;;;3.5582041426;43.3193012586
9020001;Agon (a);018-P-018;-2.5;;;13/06/2008;;;;;-1.6290258097;49.0527150237
38093001;Contesse;106-P-010;;;;13/06/2008;;;;;4.5775552474;43.4351470604
9021013;Pointe Agon nord;018-P-056;-2;;;13/06/2008;;;;;-1.6055243239;49.0148809711
28060048;Indre - 44 L015 (148000);070-P-022;;Référence point DDTM : PMR044044074ER00000015. Type de suivi : Loire.;;13/06/2008;17/07/2014;;;;-1.6745985245;47.1952990276
32071013;Ronce;082-P-009;3.1;Le recadrage terrain nest pas possible car le point Q2 est dans la vase. Modifications des coordonnées le : 17/10/2016 à la demande des coordinations REMI, REPHY Anciennes coordonnées (45.7924728073 /-1.197603155);;13/06/2008;17/10/2016;;;;-1.194683;45.79487
17035002;Poulloc;037-P-002;-5.4;;;13/06/2008;;;;;-4.5890686353;48.5983344941
10023024;Cancale nord (b);020-P-026;3.3;;;13/06/2008;;;;;-1.8447347942;48.6762126503
40100002;Anse Méjean;112-P-002;;;;13/06/2008;;;;;5.9726672172;43.1073333493
10023019;Dragey;020-P-021;-2;;;13/06/2008;;;;;-1.5213477557;48.7078739293
21043007;Pendruc;047-P-007;;;;13/06/2008;;;;;-3.8913687437;47.8319904089
16033030;Goueles;033-P-012;8;;;13/06/2008;;;;;-3.88805861;48.6958454772
25051012;Kerisper;057-P-011;12;Bathymétrie indiquée par le LER/MPL/TM (R. Gabellec, 27/02/2014).;;13/06/2008;27/02/2014;;;;-3.0125132233;47.591661556
26054009;Iluric;061-P-009;;;;13/06/2008;21/04/2009;;;;-2.7903418458;47.566663545
60004694;Caye à dupont;124-P-018;13;Lieu créé le 11/10/2011 demande de C. Belin.;;11/10/2011;15/04/2014;;;;-61.5451669684168;16.1607171595252
18038005;St Fiacre;039-P-065;-1.5;;;13/06/2008;;;;;-4.5338924765;48.2883273588
43114001;Diana centre;118-P-001;9;Coordonnées modifiées le 20/04/2010 suite à la demande du LER-PAC Corse (Marc Bouchoucha).;;13/06/2008;07/10/2013;;;;9.52861;42.12775
60007479;MEC- Iles du Connétable;146-P-013;0;Iles du Connétable;;30/10/2014;30/10/2014;;;;-51.9333373566687;4.825
60002495;GOLFE - 56G 780;061-P-090;;;;02/12/2009;02/12/2009;;;;-2.79257091128545;47.6105009052505
28061003;Gresseloup;071-P-003;;Modifications des coordonnées le : 05/12/2016 à la demande des coordinations REMI, REPHY Anciennes coordonnées (46.9458227192 / -2.1336475796);;13/06/2008;05/12/2016;;;;-2.1336475796;46.9458227192
43112001;BIN - Biguglia nord;116-P-001;1.5;Bathymétrie fournie par la coordination RSL (18/12/2014);;13/06/2008;18/12/2014;;;;9.4523333281;42.6351664007
60007430;Trou bleu;125-P-070;;Lieu créé le 23/09/2014 dans le cadre de la surveillance DCE 2014, demande de J. GARNIER CARRONNIER (ODE972). Correction des coordonnées le 15/11/2016 à la demande de IFREMER délégation des Antilles Françaises. Anciennes coordonnées (Lat 14.76872548 et Long -61.20030448).;;23/09/2014;15/11/2016;;;;-61.19896724;14.76644664
9018007;Dielette;017-P-006;;;;13/06/2008;;;;;-1.9195002266;49.5499997947
6013008;Port en Bessin;013-P-001;0.5;Fusion des lieux 013-P-001/Port en Bessin (a)/6013008 et 013-P-012/Port en Bessin/6013111 le 14/09/2012.;;13/06/2008;17/09/2012;;;;-0.7531834463;49.3515665687
60002464;BLAVET - 56B 710;049-P-025;;;;02/12/2009;02/12/2009;;;;-3.37648058740697;47.677776101388
8017019;Rade de Cherbourg;016-P-024;;;;13/06/2008;;;;;-1.6080422933;49.6620648454
37088011;La Grande Motte;102-P-014;;;;13/06/2008;;;;;4.0940435776;43.5526448748
60002433;ABER WRACH - 29AW07;037-P-073;;;;02/12/2009;02/12/2009;;;;-4.55949909474955;48.6000341983504
60002479;Pont César - 56G470;060-P-035;;Correction du libellé le 16/04/2013 à la demande de latlas DCE/LB (ancien libellé AURAY - 56G 470).;;02/12/2009;16/04/2013;;;;-2.97030074431703;47.6392979279823
60002483;Aval Port Anna - 56G775;061-P-080;;Correction du libellé le 16/04/2013 à la demande de latlas DCE/LB (ancien libellé VANNES - 56G 775).;;02/12/2009;16/04/2013;;;;-2.78003118084894;47.6195171997586
43114102;Etang dUrbino - Centre;119-P-004;;;;13/06/2008;10/02/2010;;;;9.47751;42.04613
21042031;Aval port Corniguel - 29OD08;046-P-006;;;;13/06/2008;;;;;-4.0989160743;47.9681429602
4009017;Fécamp 1 mille;009-P-023;;;;13/06/2008;;;;;0.3425004242;49.7730007236
60002535;TRIEUX - 22152E12;027-P-040;;;;02/12/2009;02/12/2009;;;;-3.06523737678535;48.8299919533293
60002503;GOLFE - 56G 915;061-P-091;;;;02/12/2009;02/12/2009;;;;-2.75579561456448;47.592985314826
26053019;Anse de Baden;060-P-017;;;;13/06/2008;;;;;-2.9298450012;47.5899958182
28060002;Port Lin;069-P-002;;;;13/06/2008;;;;;-2.5088295232;47.2839932414
60004690;Sec Pointe à Lézard;124-P-014;12;Lieu créé le 11/10/2011 demande de C. Belin. Correction libellé le 05/01/2012 (ancien libellé "Sec Pointe à Lézard - Deshaies"). Coordonnées corrigées le 27/05/13 suite à la mission de mars 2013 et à lenvoi dun mail de Pareto.;;11/10/2011;15/04/2014;;;;-61.78078;16.14025
5011003;Villers sur mer;010-P-048;1;;;13/06/2008;;;;;3.321517E-4;49.3327414801
9021026;Coudeville1 mille;018-P-068;1;;;13/06/2008;;;;;-1.595167397;48.8896678072
60007525;MET- KOUROU (Pont RN1);146-P-039;0;Pont RN1 (Kourou);;30/10/2014;30/10/2014;;;;-52.6718044659022;5.15027258096963
14030004;Le Castel;028-P-003;4;Petit ajustement (prélèvement effectué à partir dune poche précise). Modifications des coordonnées le : 24/10/2016 à la demande des coordinations REMI, REPHY, ROCCH Anciennes coordonnées (48.85423036 / -3.20816698);;13/06/2008;24/10/2016;;;;-3.2078817;48.8543096
30066005;Pelle mer;077-P-005;-3.3;;;13/06/2008;;;;;-1.1627793826;46.2366501933
4009004;Yport;009-P-014;-1;;;13/06/2008;;;;;0.306327275;49.7394227191
28060023;Joalland (a);070-P-004;;;;13/06/2008;;;;;-2.2214877992;47.1596602093
60002555;LAÏTA - 29LA01;048-P-045;;;;02/12/2009;07/12/2009;;;;-3.53074331120499;47.7708730637699
60004705;Chicot;143-P-001;13;Lieu créé le 11/10/2011 demande de C. Belin. Coordonnées corrigées le 27/05/13 suite à la mission de mars 2013 et à lenvoi dun mail de Pareto.;;11/10/2011;15/04/2014;;;;-62.983;18.10853
14029013;Mellus;027-P-006;2.5;Ajustement / évolution des concessions, le prélèvement se fait sur le fait sur les tables qui borde les tables à huitres. Modifications des coordonnées le : 24/10/2016 à la demande des coordinations REMI, REPHY Anciennes coordonnées (48.8166916567 / -3.0782136168);;13/06/2008;24/10/2016;;;;-3.0792913;48.8160472
23045013;Ban-Gavres;051-P-023;5;Correction des coordonnées le 08/11/2011 (anciennes coordonnées 47.7026602849-3.352355615 / ancien mnémonique 049-P-002), demande faite par LER/FBN/La Trinité. Bathymétrie inidiquée par LER/MPL/TM (R. Gabellec, 27/02/14).;;13/06/2008;27/02/2014;;;;-3.35;47.701
32070028;Brouage;080-P-026;0.8;;;13/06/2008;;;;;-1.1251043345;45.9029761645
60002526;LEGUER - 22225E03;032-P-045;;;;02/12/2009;02/12/2009;;;;-3.47000301750151;48.7362301347817
60001822;Aval Port Anna;061-P-077;;;;04/08/2009;04/08/2009;;;;-2.780367;47.620167
7015024;Gatteville phare;015-P-023;-2;;;13/06/2008;;;;;-1.2620363993;49.6950698379
60006910;Etang des Salines - Centre;125-P-062;;Lieu créé le 14/04/2014 (demande du 28/01/2014 par aubert-moulin@creocean.fr).;;14/04/2014;14/04/2014;;;;-60.8703309193321;14.4038070810702
26054004;Gravellic;061-P-004;;;;13/06/2008;;;;;-2.8365106437;47.6168309059
37088023;Agde;102-P-026;20;;;13/06/2008;;;;;3.5209328718;43.2589662754
38095008;Berre sud;110-P-009;;;;13/06/2008;;;;;5.1063326897;43.4185001478
29062006;Pointe du But;072-P-006;;;;13/06/2008;;;;;-2.4001471204;46.7266477503
37090356;ORE - Or Est;105-P-127;1.2;Bathymétrie fournie par la coordination RSL (18/12/2014);;13/06/2008;18/12/2014;;;;4.0415420194;43.5811449754
60004430;Anse Bertrand;124-P-013;12;Libellé et coordonnées corrigés le 11/10/2011 demande de C. Belin. Coordonnées corrigées le 05/01/2012 (anciennes 16.4938-61.5143). Coordonnées corrigées le 27/05/13 suite à la mission de mars 2013 et à lenvoi dun mail de Pareto.;;21/03/2011;15/04/2014;;;;-61.51938;16.47405
60002452;RANCE - 35EER6;021-P-078;;;;02/12/2009;02/12/2009;;;;-1.96955441561053;48.5338845302756
60002471;Pont de Kernivilit - 56G240;057-P-014;;Correction du libellé le 15/04/2013 à la demande de latlas DCE/LB (ancien libellé CRACH - 56G 240).;;02/12/2009;15/04/2013;;;;-3.02281633474149;47.5927197746932
6012015;Home Varaville;010-P-114;-1;;;13/06/2008;;;;;-0.1551698342;49.2904052122
33075006;Suzac;085-P-003;;;;13/06/2008;;;;;-0.9927612009;45.5773034765
60002549;ABER BENOIT - 29AB07;037-P-070;;;;02/12/2009;02/12/2009;;;;-4.59473043653188;48.5700694025347
27056004;Port Groix;064-P-004;;Modifications des coordonnées le : 05/12/2016 à la demande des coordinations REMI, REPHY Anciennes coordonnées (47.5304981752 / -2.6031708143);;13/06/2008;05/12/2016;;;;-2.60447;47.5307
34077003;Graouères;088-P-003;;;;13/06/2008;;;;;-1.1794124177;44.7171155285
60002550;ABER BENOIT - 29AB08;037-P-071;;;;02/12/2009;02/12/2009;;;;-4.61710722188695;48.5834550392275
9021012;Granville;018-P-055;-3;;;13/06/2008;;;;;-1.5983527691;48.8393764547
38091002;Comète;107-P-003;;;;13/06/2008;;;;;4.2397147006;43.466144435
50135007;Large de Ste Rose;126-P-007;;;;13/06/2008;25/11/2009;;;;55.8644669883;-21.1366335653
28060049;Ste Luce - 44L014 (137000);070-P-023;;Référence point DDTM : PMR044044172ER00000014. Type de suivi : Loire. Faut-il corriger les coordonnées? Correction du libellé le 16/04/2013 à la demande de latlas DCE/LB (ancien libellé Ste Luce - 44 LO14 (137000)).;;13/06/2008;17/07/2014;;;;-1.4675724193;47.2402191603
60002428;PENZE - 29PZ14;035-P-024;;;;02/12/2009;02/12/2009;;;;-3.93569000201165;48.6673828203581
4007001;Pourville;008-P-001;-3;;;13/06/2008;;;;;1.0233371729;49.9177692151
34077051;Grand Piquey;088-P-046;;;;13/06/2008;;;;;-1.2099129469;44.7161151739
20040008;Baie Audierne gisement;042-P-008;5;;;13/06/2008;;;;;-4.7450519216;47.8806480346
60006828;Passe MTsamboro (Aval Large Sud est) 29;145-P-023;66;Station 29 - études Def RCS;;21/03/2014;21/03/2014;;;;45.1650995775498;-12.6235003017502
60007484;MET- IRACOUBO (Dégrad Fiéviée);146-P-018;0;Degrad Fiévée;;30/10/2014;30/10/2014;;;;-53.227929993965;5.46251156708912
39097007;Cap Canaille;111-P-128;;Rinbio 21F. Changement de libellé le 03/11/2011, demande faite par MCFabri, ancien libellé "Cassis".;;13/06/2008;08/11/2011;;;;5.5528323998;43.187332763
60006730;CHA-Scamandre-Crey-Charnier;107-P-030;;Lieu créé le 30/01/2014 à la demande du LER.;;30/01/2014;30/01/2014;;;;4.301231;43.62
29064013;Les Sables;074-P-035;;;;13/06/2008;;;;;-1.7932969712;46.489315713
37089376;INN - Ingril Nord;105-P-183;0.9;Bathymétrie fournie par la coordination RSL (18/12/2014);;13/06/2008;18/12/2014;;;;3.7858728044;43.4498062936
7015026;Moulard;015-P-025;-2;;;13/06/2008;;;;;-1.2382014527;49.6544023534
60002456;Vieux pont de bois -  56B520;050-P-056;;Correction du libellé le 15/04/2013 à la demande de latlas DCE/LB (ancien libellé SCORFF - 56B 520).;;02/12/2009;15/04/2013;;;;-3.37366224099779;47.7814644940656
6013017;Extérieur gisement baie de Seine;003-P-020;30;;;13/06/2008;;;;;-0.668023749;49.665742703
60007521;MEC- Pointe Béhague;146-P-035;0;Pointe Béhague;;30/10/2014;30/10/2014;;;;-51.8983373566687;4.68999597666466
30066003;Sèvre rive droite (bouée 8);077-P-004;-4;;;13/06/2008;;;;;-1.1457804634;46.2966517954
9021007;Bricqueville sud;018-P-050;-3;;;13/06/2008;;;;;-1.586021496;48.9245454949
50137003;Large Ermitage;126-P-016;;Libellé modifié le 12/02/10. Libellé modifié le 17/02/2012 pour correspondre à la terminologie officielle administrative.;;13/06/2008;17/02/2012;;;;55.2059995084;-21.0909995274
60002960;Cortiou;111-P-330;;;;19/01/2010;18/12/2014;;;;5.380869;43.1964081673707
